iter	RMSE
0	1035.496017
1	954.1046033
2	881.3404473
3	817.3140487
4	758.8728335
5	707.7385804
6	663.5837233
7	623.6538576
8	587.0510232
9	556.3017578
10	528.6179878
11	504.7015343
12	482.5540183
13	463.8713163
14	446.8803555
15	432.4016737
16	420.1196472
17	407.6522974
18	398.1685763
19	389.5030969
20	380.6967558
21	373.9836062
22	367.6806858
23	362.2391047
24	357.2489919
25	352.4212724
26	347.1166733
27	343.3076166
28	339.9827263
29	336.10345
30	333.0395481
31	330.3849419
32	327.7226932
33	325.285711
34	323.2294185
35	321.65996
36	319.4482161
37	317.2881703
38	315.9808968
39	314.979048
40	313.298428
41	311.6641224
42	309.9311902
43	308.5756934
44	307.7337148
45	306.3628597
46	305.4655759
47	303.9755101
48	302.7381848
49	301.6640424
