iter	Passed	Remaining
0	869	42619
1	1179	28319
2	1402	21969
3	1589	18274
4	1887	16984
5	2162	15860
6	2422	14881
7	2673	14033
8	2863	13046
9	3057	12230
10	3226	11438
11	3406	10788
12	3554	10116
13	3734	9603
14	3893	9085
15	4076	8663
16	4296	8340
17	4505	8010
18	4726	7711
19	4940	7411
20	5270	7278
21	5614	7146
22	5875	6897
23	6096	6604
24	6408	6408
25	6724	6207
26	7023	5982
27	7241	5690
28	7402	5360
29	7578	5052
30	7771	4763
31	7993	4496
32	8240	4245
33	8486	3993
34	8655	3709
35	8803	3423
36	8981	3155
37	9158	2892
38	9327	2630
39	9513	2378
40	9719	2133
41	9912	1888
42	10283	1674
43	10577	1442
44	10925	1213
45	11312	983
46	11608	740
47	11879	494
48	12063	246
49	12226	0
